Simulation Time,CRL Size,CRL Message Size
18,0,
18,,496
36,0,
36,,496
72,1,
72,,504
90,1,
90,,504
108,2,
108,,512
129.051,2,
129.051,,512
146.522,2,
146.522,,512
199.359,3,
199.359,,520
216,3,
216,,520
236.596,5,
236.596,,536
253.848,5,
253.848,,536
270,5,
270,,536
326.423,6,
326.423,,544
342,6,
342,,544
396,8,
396,,560
415.932,8,
415.932,,560
434.337,9,
434.337,,568
452.779,9,
452.779,,568
470.792,9,
470.792,,568
488.212,10,
488.212,,576
506.699,10,
506.699,,576
560.418,10,
560.418,,576
577.544,12,
577.544,,592
612,12,
612,,592
632.359,12,
632.359,,592
667.783,13,
667.783,,600
703.583,13,
703.583,,600
722.414,15,
722.414,,616
774,18,
774,,640
794.764,18,
794.764,,640
811.872,21,
811.872,,664
828,21,
828,,664
865.883,21,
865.883,,664
882,22,
882,,672
901.359,22,
901.359,,672
920.523,22,
920.523,,672
937.735,22,
937.735,,672
955.188,23,
955.188,,680
974.353,23,
974.353,,680
991.866,26,
991.866,,704
1009.42,26,
1009.42,,704
1027.91,26,
1027.91,,704
1046.9,28,
1046.9,,720
1099.33,28,
1099.33,,720
1117.91,30,
1117.91,,736
1152,30,
1152,,736
1207.45,33,
1207.45,,760
1243.52,36,
1243.52,,784
1278,38,
1278,,800
1333.33,38,
1333.33,,800
1350,40,
1350,,816
1370.59,40,
1370.59,,816
1387.11,40,
1387.11,,816
1440,41,
1440,,824
1459.95,41,
1459.95,,824
1478.87,44,
1478.87,,848
1513.68,44,
1513.68,,848
1531.94,46,
1531.94,,864
1550.66,46,
1550.66,,864
1585.6,48,
1585.6,,880
1602,48,
1602,,880
1622.25,48,
1622.25,,880
1638,48,
1638,,880
1675.99,49,
1675.99,,888
1692,49,
1692,,888
1730.75,50,
1730.75,,896
1764,50,
1764,,896
1802.41,52,
1802.41,,912
1836,52,
1836,,912
1926,55,
1926,,936
1945.78,55,
1945.78,,936
1998,58,
1998,,960
2072.57,61,
2072.57,,984
2088.88,61,
2088.88,,984
2144.14,62,
2144.14,,992
2161.89,62,
2161.89,,992
2178,62,
2178,,992
2215.76,65,
2215.76,,1016
2233.32,65,
2233.32,,1016
2269.22,66,
2269.22,,1024
2287.25,67,
2287.25,,1032
2322,67,
2322,,1032
2340,69,
2340,,1048
2358,69,
2358,,1048
2395.78,72,
2395.78,,1072
2412,72,
2412,,1072
2430,72,
2430,,1072
2467.35,75,
2467.35,,1096
2486.1,77,
2486.1,,1112
2504.3,77,
2504.3,,1112
2520,77,
2520,,1112
2538,77,
2538,,1112
2557.93,79,
2557.93,,1128
2576.18,79,
2576.18,,1128
2592,79,
2592,,1128
2630.6,79,
2630.6,,1128
2646,80,
2646,,1136
2683.96,80,
2683.96,,1136
2700,83,
2700,,1160
2718,83,
2718,,1160
2739.49,83,
2739.49,,1160
2774.11,86,
2774.11,,1184
2790.73,86,
2790.73,,1184
2808,86,
2808,,1184
2845.43,87,
2845.43,,1192
2862,87,
2862,,1192
2898,87,
2898,,1192
2916,90,
2916,,1216
2935.88,90,
2935.88,,1216
2953.61,91,
2953.61,,1224
2988,91,
2988,,1224
3007.24,91,
3007.24,,1224
3042,92,
3042,,1232
3079.34,95,
3079.34,,1256
3114,95,
3114,,1256
3152.32,96,
3152.32,,1264
3222,98,
3222,,1280
3241.32,98,
3241.32,,1280
3258,101,
3258,,1304
3276,101,
3276,,1304
3294,101,
3294,,1304
3313.43,103,
3313.43,,1320
3332.25,103,
3332.25,,1320
3348,103,
3348,,1320
3366,105,
3366,,1336
3385.7,105,
3385.7,,1336
3403.17,105,
3403.17,,1336
3439.23,106,
3439.23,,1344
3476.43,106,
3476.43,,1344
3512.01,109,
3512.01,,1368
3564,109,
3564,,1368
